,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
59,1000LUNCUSDT,FXSUSDT,0.04,-3.44,-3.37,0.01,45
269,CELRUSDT,RSS3USDT,0.0,-4.33,-3.37,0.19,42
270,CFXUSDT,ACHUSDT,0.0,-4.29,-3.37,11.34,41
316,COTIUSDT,XLMUSDT,0.01,-3.9,-3.37,0.77,40
729,YFIUSDT,IOTXUSDT,0.0,-4.67,-3.37,290995.25,40
481,SLPUSDT,CVCUSDT,0.01,-4.06,-3.37,0.03,39
252,CEEKUSDT,JSTUSDT,0.01,-3.92,-3.37,3.01,38
656,UNIUSDT,FXSUSDT,0.01,-3.77,-3.37,0.73,38
311,COTIUSDT,RSRUSDT,0.0,-4.32,-3.37,22.98,37
448,LQTYUSDT,REEFUSDT,0.02,-3.6,-3.37,574.83,37
290,COTIUSDT,DOTUSDT,0.0,-4.33,-3.37,0.01,37
99,ALGOUSDT,APEUSDT,0.04,-3.38,-3.37,0.05,36
507,THETAUSDT,AUDIOUSDT,0.02,-3.69,-3.37,3.54,36
737,ZILUSDT,DOGEUSDT,0.0,-4.47,-3.37,0.32,36
151,BANDUSDT,CVCUSDT,0.01,-3.96,-3.37,16.71,36
124,ASTRUSDT,SUSHIUSDT,0.02,-3.6,-3.37,0.06,35
258,CEEKUSDT,SKLUSDT,0.0,-4.65,-3.37,2.2,35
241,CEEKUSDT,BALUSDT,0.0,-4.3,-3.37,0.01,35
386,ETHWUSDT,AUDIOUSDT,0.04,-3.47,-3.37,8.49,35
181,BNXUSDT,ARUSDT,0.01,-4.06,-3.37,0.07,35
240,CEEKUSDT,ASTRUSDT,0.02,-3.68,-3.37,1.39,35
424,LQTYUSDT,DUSKUSDT,0.01,-3.77,-3.37,8.61,35
422,LQTYUSDT,CVXUSDT,0.01,-4.06,-3.37,0.28,35
479,SLPUSDT,BCHUSDT,0.0,-4.78,-3.37,0.0,35
345,DGBUSDT,BCHUSDT,0.02,-3.73,-3.37,0.0,35
515,THETAUSDT,COTIUSDT,0.04,-3.4,-3.37,12.63,35
404,LINKUSDT,AUDIOUSDT,0.01,-3.92,-3.37,26.65,35
79,1000XECUSDT,ICXUSDT,0.02,-3.59,-3.37,0.1,34
76,1000XECUSDT,CVCUSDT,0.0,-4.93,-3.37,0.29,34
295,COTIUSDT,GLMRUSDT,0.01,-3.98,-3.37,0.24,34
291,COTIUSDT,ETCUSDT,0.0,-4.21,-3.37,0.0,34
248,CEEKUSDT,HNTUSDT,0.01,-3.92,-3.37,0.05,34
512,THETAUSDT,BNBUSDT,0.0,-4.71,-3.37,0.0,33
260,CEEKUSDT,STORJUSDT,0.02,-3.73,-3.37,0.24,33
287,COTIUSDT,BTCUSDT,0.0,-5.32,-3.37,0.0,33
426,LQTYUSDT,EGLDUSDT,0.01,-4.09,-3.37,0.03,33
257,CEEKUSDT,SHIB1000USDT,0.02,-3.74,-3.37,8.2,33
352,DGBUSDT,DOGEUSDT,0.01,-3.95,-3.37,0.11,33
245,CEEKUSDT,DYDXUSDT,0.01,-4.08,-3.37,0.03,33
418,LQTYUSDT,CEEKUSDT,0.02,-3.65,-3.37,17.86,33
310,COTIUSDT,ROSEUSDT,0.0,-4.54,-3.37,1.31,33
412,LQTYUSDT,BALUSDT,0.01,-3.77,-3.37,0.24,33
636,TUSDT,JSTUSDT,0.0,-4.62,-3.37,1.11,33
482,SLPUSDT,CVXUSDT,0.01,-3.93,-3.37,0.0,33
335,DARUSDT,BNBUSDT,0.04,-3.38,-3.37,0.0,33
485,SNXUSDT,CRVUSDT,0.05,-3.38,-3.37,2.85,33
634,TUSDT,ICPUSDT,0.01,-3.95,-3.37,0.01,33
172,BANDUSDT,LRCUSDT,0.01,-3.84,-3.37,4.99,33
131,BAKEUSDT,ETHUSDT,0.01,-3.84,-3.37,0.0,32
281,COTIUSDT,AVAXUSDT,0.02,-3.61,-3.37,0.0,32
392,GRTUSDT,AVAXUSDT,0.04,-3.42,-3.37,0.01,32
433,LQTYUSDT,HNTUSDT,0.04,-3.42,-3.37,0.88,32
81,1000XECUSDT,RLCUSDT,0.02,-3.61,-3.37,0.02,32
427,LQTYUSDT,ETHWUSDT,0.0,-4.72,-3.37,0.62,32
478,SKLUSDT,BNBUSDT,0.02,-3.74,-3.37,0.0,32
748,ZILUSDT,NEARUSDT,0.03,-3.55,-3.37,0.01,32
477,SKLUSDT,1000BTTUSDT,0.01,-3.79,-3.37,54.12,32
256,CEEKUSDT,RSS3USDT,0.0,-4.66,-3.37,0.64,32
389,GALUSDT,BCHUSDT,0.03,-3.52,-3.37,0.01,31
668,VETUSDT,DENTUSDT,0.04,-3.43,-3.37,22.93,31
254,CEEKUSDT,REEFUSDT,0.04,-3.46,-3.37,32.17,31
244,CEEKUSDT,DUSKUSDT,0.04,-3.46,-3.37,0.48,31
69,1000PEPEUSDT,LOOKSUSDT,0.03,-3.5,-3.37,0.02,31
148,BANDUSDT,BNBUSDT,0.03,-3.55,-3.37,0.0,31
365,DGBUSDT,ROSEUSDT,0.01,-3.86,-3.37,0.15,31
745,ZILUSDT,LINKUSDT,0.01,-4.06,-3.37,0.0,31
297,COTIUSDT,HBARUSDT,0.01,-3.85,-3.37,1.3,31
302,COTIUSDT,LINKUSDT,0.0,-4.36,-3.37,0.01,31
325,CTCUSDT,10000NFTUSDT,0.03,-3.54,-3.37,84.77,31
642,UNFIUSDT,COREUSDT,0.01,-3.89,-3.37,5.2,31
510,THETAUSDT,BANDUSDT,0.04,-3.44,-3.37,0.59,31
362,DGBUSDT,MINAUSDT,0.03,-3.52,-3.37,0.01,30
188,BOBAUSDT,RLCUSDT,0.0,-4.83,-3.37,0.11,30
296,COTIUSDT,GRTUSDT,0.0,-4.6,-3.37,0.57,30
446,LQTYUSDT,OPUSDT,0.03,-3.59,-3.37,0.78,30
88,1INCHUSDT,AUDIOUSDT,0.01,-3.79,-3.37,1.64,30
643,UNFIUSDT,CTKUSDT,0.01,-3.97,-3.37,5.88,30
263,CEEKUSDT,XCNUSDT,0.04,-3.39,-3.37,38.92,30
434,LQTYUSDT,HOTUSDT,0.02,-3.69,-3.37,783.9,30
259,CEEKUSDT,SPELLUSDT,0.04,-3.46,-3.37,122.64,30
64,1000PEPEUSDT,FITFIUSDT,0.04,-3.42,-3.37,0.27,30
255,CEEKUSDT,RENUSDT,0.03,-3.55,-3.37,0.95,30
152,BANDUSDT,CVXUSDT,0.03,-3.47,-3.37,0.32,29
286,COTIUSDT,BNXUSDT,0.04,-3.43,-3.37,0.14,29
264,CEEKUSDT,ZENUSDT,0.01,-3.94,-3.37,0.01,29
268,CELRUSDT,KDAUSDT,0.04,-3.45,-3.37,0.03,29
120,ASTRUSDT,JSTUSDT,0.0,-4.5,-3.37,2.17,29
628,TUSDT,BSVUSDT,0.02,-3.64,-3.37,0.0,29
355,DGBUSDT,FLOWUSDT,0.02,-3.6,-3.37,0.01,29
467,RPLUSDT,CVCUSDT,0.0,-4.49,-3.37,553.87,29
183,BNXUSDT,ETCUSDT,0.0,-4.26,-3.37,0.03,29
139,BANDUSDT,1000BTTUSDT,0.04,-3.42,-3.37,2424.41,29
585,TRXUSDT,ETHWUSDT,0.02,-3.73,-3.37,0.04,29
598,TRXUSDT,HNTUSDT,0.04,-3.46,-3.37,0.05,29
284,COTIUSDT,BATUSDT,0.02,-3.74,-3.37,0.31,29
73,1000PEPEUSDT,SXPUSDT,0.02,-3.64,-3.37,0.0,29
536,TRXUSDT,ALICEUSDT,0.02,-3.65,-3.37,0.06,29
391,GRTUSDT,ANKRUSDT,0.01,-3.83,-3.37,4.67,29
653,UNIUSDT,CVCUSDT,0.01,-4.03,-3.37,58.5,29
420,LQTYUSDT,CRVUSDT,0.03,-3.57,-3.37,1.5,28
739,ZILUSDT,ETCUSDT,0.03,-3.59,-3.37,0.0,28
129,BAKEUSDT,DODOUSDT,0.03,-3.53,-3.37,1.14,28
332,DARUSDT,ALICEUSDT,0.01,-3.87,-3.37,0.1,28
334,DARUSDT,BITUSDT,0.04,-3.38,-3.37,0.27,28
249,CEEKUSDT,ICXUSDT,0.04,-3.39,-3.37,0.29,28
425,LQTYUSDT,DYDXUSDT,0.01,-4.08,-3.37,0.61,28
399,ICPUSDT,BSVUSDT,0.0,-4.3,-3.37,0.15,28
340,DGBUSDT,1INCHUSDT,0.01,-3.88,-3.37,0.02,28
741,ZILUSDT,GLMRUSDT,0.0,-4.51,-3.37,0.08,28
309,COTIUSDT,PEOPLEUSDT,0.03,-3.48,-3.37,3.87,28
403,LINKUSDT,ANKRUSDT,0.04,-3.45,-3.37,253.24,28
732,YGGUSDT,MATICUSDT,0.03,-3.49,-3.37,0.21,28
271,CFXUSDT,DODOUSDT,0.03,-3.58,-3.37,2.41,28
140,BANDUSDT,1000LUNCUSDT,0.02,-3.62,-3.37,16.56,28
476,RVNUSDT,SCUSDT,0.03,-3.57,-3.37,6.59,28
647,UNFIUSDT,MTLUSDT,0.02,-3.65,-3.37,4.28,28
495,SUNUSDT,10000NFTUSDT,0.02,-3.7,-3.37,1.62,28
400,ICPUSDT,BSWUSDT,0.02,-3.65,-3.37,40.27,28
262,CEEKUSDT,SUSHIUSDT,0.03,-3.52,-3.37,0.08,27
156,BANDUSDT,DYDXUSDT,0.01,-4.07,-3.37,0.7,27
307,COTIUSDT,NEARUSDT,0.03,-3.49,-3.37,0.04,27
185,BNXUSDT,RSRUSDT,0.03,-3.55,-3.37,170.13,27
125,AUDIOUSDT,1000BTTUSDT,0.02,-3.67,-3.37,405.39,27
292,COTIUSDT,ETHUSDT,0.01,-3.97,-3.37,0.0,27
184,BNXUSDT,HBARUSDT,0.02,-3.76,-3.37,9.65,27
691,XNOUSDT,AXSUSDT,0.01,-3.95,-3.37,0.1,27
413,LQTYUSDT,BANDUSDT,0.03,-3.53,-3.37,0.88,27
117,APTUSDT,NEARUSDT,0.04,-3.42,-3.37,5.1,27
706,XNOUSDT,COTIUSDT,0.04,-3.42,-3.37,10.55,27
635,TUSDT,JASMYUSDT,0.02,-3.74,-3.37,5.5,27
112,APTUSDT,BLZUSDT,0.04,-3.46,-3.37,130.24,27
437,LQTYUSDT,IOTXUSDT,0.04,-3.44,-3.37,56.39,27
317,COTIUSDT,XMRUSDT,0.02,-3.75,-3.37,0.0,27
346,DGBUSDT,BNBUSDT,0.03,-3.57,-3.37,0.0,27
410,LQTYUSDT,ASTRUSDT,0.02,-3.64,-3.37,24.81,27
370,DGBUSDT,TLMUSDT,0.02,-3.72,-3.37,0.49,27
468,RPLUSDT,DASHUSDT,0.0,-4.25,-3.37,1.12,26
443,LQTYUSDT,LRCUSDT,0.03,-3.53,-3.37,4.39,26
674,XMRUSDT,ATOMUSDT,0.01,-4.03,-3.37,14.4,26
261,CEEKUSDT,SUNUSDT,0.04,-3.43,-3.37,11.97,26
163,BANDUSDT,HOTUSDT,0.02,-3.71,-3.37,892.27,26
466,RPLUSDT,C98USDT,0.0,-4.15,-3.37,246.04,26
315,COTIUSDT,XEMUSDT,0.03,-3.48,-3.37,2.11,26
470,RPLUSDT,FXSUSDT,0.01,-4.07,-3.37,6.87,26
253,CEEKUSDT,OPUSDT,0.01,-3.95,-3.37,0.04,26
483,SLPUSDT,DASHUSDT,0.0,-4.54,-3.37,0.0,26
734,ZILUSDT,BCHUSDT,0.0,-4.12,-3.37,0.0,26
562,TRXUSDT,CFXUSDT,0.03,-3.58,-3.37,0.25,26
663,UNIUSDT,RLCUSDT,0.03,-3.55,-3.37,3.19,26
661,UNIUSDT,MANAUSDT,0.02,-3.74,-3.37,10.68,26
649,UNFIUSDT,RUNEUSDT,0.03,-3.51,-3.37,3.9,26
472,RPLUSDT,LTCUSDT,0.0,-4.2,-3.37,0.54,26
440,LQTYUSDT,JSTUSDT,0.02,-3.63,-3.37,53.81,26
394,GRTUSDT,BTCUSDT,0.03,-3.59,-3.37,0.0,26
111,API3USDT,XRPUSDT,0.03,-3.55,-3.37,2.6,26
96,1INCHUSDT,MINAUSDT,0.03,-3.56,-3.37,0.7,26
356,DGBUSDT,GALUSDT,0.02,-3.66,-3.37,0.01,26
383,ETHWUSDT,1000LUNCUSDT,0.02,-3.63,-3.37,23.51,26
107,API3USDT,ETHUSDT,0.02,-3.67,-3.37,0.0,26
130,BAKEUSDT,DOTUSDT,0.01,-3.99,-3.37,0.03,26
86,1INCHUSDT,ANKRUSDT,0.03,-3.51,-3.37,15.59,26
305,COTIUSDT,MINAUSDT,0.04,-3.4,-3.37,0.12,25
629,TUSDT,CROUSDT,0.0,-4.62,-3.37,0.43,25
363,DGBUSDT,MKRUSDT,0.02,-3.64,-3.37,0.0,25
178,BANDUSDT,PEOPLEUSDT,0.02,-3.61,-3.37,82.67,25
514,THETAUSDT,CFXUSDT,0.04,-3.41,-3.37,2.74,25
250,CEEKUSDT,IOTXUSDT,0.04,-3.44,-3.37,3.16,25
116,APTUSDT,KNCUSDT,0.01,-3.78,-3.37,13.42,25
251,CEEKUSDT,JASMYUSDT,0.04,-3.4,-3.37,14.95,25
501,THETAUSDT,1000BTTUSDT,0.02,-3.7,-3.37,1434.14,25
364,DGBUSDT,PEOPLEUSDT,0.01,-3.92,-3.37,0.45,25
414,LQTYUSDT,BCHUSDT,0.04,-3.4,-3.37,0.01,25
447,LQTYUSDT,PEOPLEUSDT,0.04,-3.39,-3.37,72.63,25
388,FLRUSDT,APEUSDT,0.03,-3.52,-3.37,0.01,25
147,BANDUSDT,BCHUSDT,0.04,-3.44,-3.37,0.01,25
385,ETHWUSDT,ACHUSDT,0.04,-3.39,-3.37,74.5,25
289,COTIUSDT,DOGEUSDT,0.02,-3.69,-3.37,0.94,25
381,ETCUSDT,AUDIOUSDT,0.02,-3.73,-3.37,74.94,25
672,XEMUSDT,C98USDT,0.0,-4.15,-3.37,0.16,24
538,TRXUSDT,ANTUSDT,0.01,-4.02,-3.37,0.02,24
462,REEFUSDT,AVAXUSDT,0.01,-3.8,-3.37,0.0,24
480,SLPUSDT,C98USDT,0.01,-3.84,-3.37,0.01,24
243,CEEKUSDT,DARUSDT,0.04,-3.44,-3.37,0.52,24
282,COTIUSDT,AXSUSDT,0.02,-3.69,-3.37,0.01,24
573,TRXUSDT,DODOUSDT,0.01,-3.83,-3.37,0.59,24
379,ETCUSDT,ANKRUSDT,0.03,-3.58,-3.37,711.98,24
368,DGBUSDT,SLPUSDT,0.0,-4.37,-3.37,3.57,24
278,COTIUSDT,ANKRUSDT,0.0,-5.4,-3.37,2.66,24
327,CVXUSDT,AVAXUSDT,0.0,-4.11,-3.37,0.31,24
97,1INCHUSDT,ROSEUSDT,0.01,-3.83,-3.37,7.65,24
747,ZILUSDT,LTCUSDT,0.02,-3.61,-3.37,0.0,24
127,BAKEUSDT,BTCUSDT,0.01,-4.1,-3.37,0.0,24
724,XNOUSDT,FLOWUSDT,0.02,-3.68,-3.37,0.95,23
451,ONEUSDT,1000XECUSDT,0.04,-3.47,-3.37,0.62,23
518,TOMOUSDT,CKBUSDT,0.0,-4.36,-3.37,371.54,23
158,BANDUSDT,ENJUSDT,0.03,-3.55,-3.37,4.31,23
155,BANDUSDT,DOGEUSDT,0.02,-3.75,-3.37,20.05,23
150,BANDUSDT,CRVUSDT,0.03,-3.59,-3.37,1.71,23
146,BANDUSDT,BATUSDT,0.04,-3.43,-3.37,6.58,23
285,COTIUSDT,BCHUSDT,0.03,-3.56,-3.37,0.0,23
669,VETUSDT,DODOUSDT,0.02,-3.64,-3.37,0.15,23
475,RVNUSDT,CVCUSDT,0.04,-3.42,-3.37,0.25,23
122,ASTRUSDT,RSS3USDT,0.01,-3.98,-3.37,0.46,23
319,COTIUSDT,XTZUSDT,0.0,-4.47,-3.37,0.08,23
166,BANDUSDT,IOSTUSDT,0.01,-3.81,-3.37,154.89,23
369,DGBUSDT,THETAUSDT,0.05,-3.37,-3.37,0.01,23
384,ETHWUSDT,1INCHUSDT,0.04,-3.38,-3.37,5.18,23
378,ETCUSDT,ACHUSDT,0.05,-3.38,-3.37,657.51,23
415,LQTYUSDT,BNBUSDT,0.01,-3.82,-3.37,0.0,23
350,DGBUSDT,CVCUSDT,0.01,-3.96,-3.37,0.09,23
644,UNFIUSDT,ILVUSDT,0.03,-3.52,-3.37,0.09,23
442,LQTYUSDT,KDAUSDT,0.0,-4.16,-3.37,1.66,22
94,1INCHUSDT,HBARUSDT,0.03,-3.58,-3.37,7.64,22
273,COMPUSDT,ADAUSDT,0.0,-4.54,-3.37,95.38,22
149,BANDUSDT,C98USDT,0.01,-4.01,-3.37,7.42,22
91,1INCHUSDT,FLOWUSDT,0.0,-4.38,-3.37,0.53,22
283,COTIUSDT,BAKEUSDT,0.03,-3.53,-3.37,0.46,22
397,HOTUSDT,10000NFTUSDT,0.04,-3.43,-3.37,0.44,22
288,COTIUSDT,COMPUSDT,0.02,-3.61,-3.37,0.0,22
326,CVXUSDT,AUDIOUSDT,0.03,-3.55,-3.37,18.7,22
353,DGBUSDT,ENJUSDT,0.02,-3.63,-3.37,0.02,22
474,RPLUSDT,OMGUSDT,0.03,-3.58,-3.37,61.58,22
469,RPLUSDT,ENJUSDT,0.01,-3.82,-3.37,142.76,22
126,BAKEUSDT,ADAUSDT,0.02,-3.6,-3.37,0.4,22
436,LQTYUSDT,IOSTUSDT,0.02,-3.67,-3.37,136.08,22
738,ZILUSDT,EGLDUSDT,0.01,-4.03,-3.37,0.0,22
58,1000LUNCUSDT,DYDXUSDT,0.03,-3.48,-3.37,0.04,22
455,ONTUSDT,QTUMUSDT,0.0,-4.31,-3.37,0.09,22
421,LQTYUSDT,CTSIUSDT,0.02,-3.68,-3.37,7.2,22
382,ETCUSDT,AVAXUSDT,0.0,-4.84,-3.37,1.25,22
743,ZILUSDT,IOSTUSDT,0.04,-3.46,-3.37,2.49,22
228,BUSDUSDT,RNDRUSDT,0.01,-3.82,-3.37,0.38,22
597,TRXUSDT,HFTUSDT,0.01,-3.89,-3.37,0.17,22
336,DARUSDT,BOBAUSDT,0.03,-3.47,-3.37,0.8,21
171,BANDUSDT,LINKUSDT,0.04,-3.47,-3.37,0.22,21
676,XNOUSDT,1000BTTUSDT,0.03,-3.58,-3.37,1198.83,21
167,BANDUSDT,IOTXUSDT,0.0,-4.56,-3.37,64.19,21
658,UNIUSDT,IOTXUSDT,0.02,-3.61,-3.37,224.64,21
520,TOMOUSDT,FILUSDT,0.03,-3.59,-3.37,0.28,21
519,TOMOUSDT,COREUSDT,0.0,-4.48,-3.37,1.48,21
348,DGBUSDT,COTIUSDT,0.04,-3.46,-3.37,0.12,21
280,COTIUSDT,ARUSDT,0.0,-4.2,-3.37,0.01,21
508,THETAUSDT,AVAXUSDT,0.0,-4.22,-3.37,0.06,21
157,BANDUSDT,EGLDUSDT,0.01,-3.83,-3.37,0.04,21
742,ZILUSDT,GRTUSDT,0.04,-3.38,-3.37,0.2,21
154,BANDUSDT,DODOUSDT,0.04,-3.41,-3.37,11.16,21
429,LQTYUSDT,GLMRUSDT,0.05,-3.38,-3.37,4.57,21
511,THETAUSDT,BATUSDT,0.01,-3.77,-3.37,3.89,21
631,TUSDT,FXSUSDT,0.03,-3.48,-3.37,0.0,21
106,API3USDT,COMPUSDT,0.04,-3.43,-3.37,0.03,21
637,TUSDT,ONEUSDT,0.04,-3.47,-3.37,1.67,21
405,LQTYUSDT,ACHUSDT,0.04,-3.4,-3.37,46.09,21
102,ALPHAUSDT,LITUSDT,0.01,-3.91,-3.37,0.13,21
239,CEEKUSDT,ANTUSDT,0.01,-3.77,-3.37,0.02,21
84,1000XECUSDT,XCNUSDT,0.03,-3.49,-3.37,13.82,20
652,UNIUSDT,C98USDT,0.01,-3.99,-3.37,25.98,20
373,DGBUSDT,XEMUSDT,0.02,-3.62,-3.37,0.24,20
90,1INCHUSDT,DOGEUSDT,0.01,-3.98,-3.37,5.5,20
750,ZRXUSDT,BNBUSDT,0.02,-3.72,-3.37,0.0,20
89,1INCHUSDT,BCHUSDT,0.01,-3.85,-3.37,0.0,20
93,1INCHUSDT,GTCUSDT,0.0,-4.16,-3.37,0.28,20
488,SOLUSDT,1000FLOKIUSDT,0.02,-3.76,-3.37,622.68,20
638,TWTUSDT,1000FLOKIUSDT,0.0,-4.4,-3.37,34.01,20
411,LQTYUSDT,AUDIOUSDT,0.04,-3.4,-3.37,5.25,20
717,XNOUSDT,ENJUSDT,0.04,-3.47,-3.37,2.13,20
464,RENUSDT,C98USDT,0.0,-4.19,-3.37,0.39,20
82,1000XECUSDT,SCUSDT,0.0,-4.6,-3.37,7.79,20
454,ONTUSDT,KAVAUSDT,0.03,-3.52,-3.37,0.2,20
709,XNOUSDT,CVCUSDT,0.03,-3.58,-3.37,8.26,20
684,XNOUSDT,API3USDT,0.01,-3.81,-3.37,0.59,20
592,TRXUSDT,GALAUSDT,0.03,-3.55,-3.37,2.55,20
619,TRXUSDT,MANAUSDT,0.04,-3.41,-3.37,0.16,20
306,COTIUSDT,MKRUSDT,0.01,-4.08,-3.37,0.0,20
238,CEEKUSDT,10000NFTUSDT,0.04,-3.39,-3.37,19.34,20
572,TRXUSDT,DGBUSDT,0.04,-3.41,-3.37,9.84,20
555,TRXUSDT,BLZUSDT,0.02,-3.72,-3.37,1.22,20
516,THETAUSDT,CRVUSDT,0.03,-3.51,-3.37,1.01,20
546,TRXUSDT,AVAXUSDT,0.02,-3.74,-3.37,0.01,20
242,CEEKUSDT,BITUSDT,0.02,-3.65,-3.37,0.14,20
564,TRXUSDT,CKBUSDT,0.01,-3.83,-3.37,22.76,20
358,DGBUSDT,LINKUSDT,0.01,-3.98,-3.37,0.0,19
134,BAKEUSDT,JOEUSDT,0.01,-3.85,-3.37,0.41,19
484,SNXUSDT,ACHUSDT,0.03,-3.51,-3.37,87.58,19
118,ASTRUSDT,10000NFTUSDT,0.01,-4.06,-3.37,13.93,19
161,BANDUSDT,FLOWUSDT,0.04,-3.39,-3.37,1.92,19
318,COTIUSDT,XRPUSDT,0.03,-3.59,-3.37,0.15,19
553,TRXUSDT,BITUSDT,0.02,-3.75,-3.37,0.15,19
108,API3USDT,IDUSDT,0.02,-3.67,-3.37,2.55,19
366,DGBUSDT,SFPUSDT,0.04,-3.41,-3.37,0.02,19
456,OPUSDT,10000NFTUSDT,0.01,-4.08,-3.37,442.87,19
667,UNIUSDT,XCNUSDT,0.03,-3.5,-3.37,2770.42,19
103,ALPHAUSDT,TWTUSDT,0.03,-3.57,-3.37,0.1,19
61,1000PEPEUSDT,BSWUSDT,0.03,-3.51,-3.37,0.01,19
503,THETAUSDT,ACHUSDT,0.02,-3.73,-3.37,31.04,19
517,THETAUSDT,DASHUSDT,0.02,-3.61,-3.37,0.02,19
343,DGBUSDT,AXSUSDT,0.04,-3.44,-3.37,0.0,19
277,COTIUSDT,ADAUSDT,0.01,-3.96,-3.37,0.18,19
654,UNIUSDT,DASHUSDT,0.01,-3.88,-3.37,0.12,19
141,BANDUSDT,ACHUSDT,0.03,-3.56,-3.37,52.46,19
77,1000XECUSDT,FXSUSDT,0.01,-3.97,-3.37,0.0,18
360,DGBUSDT,MANAUSDT,0.01,-4.02,-3.37,0.02,18
182,BNXUSDT,CELOUSDT,0.02,-3.73,-3.37,0.97,18
744,ZILUSDT,IOTXUSDT,0.0,-4.32,-3.37,1.03,18
626,TRXUSDT,OGNUSDT,0.04,-3.38,-3.37,0.83,18
423,LQTYUSDT,DARUSDT,0.03,-3.56,-3.37,9.26,18
746,ZILUSDT,LRCUSDT,0.03,-3.5,-3.37,0.08,18
246,CEEKUSDT,ETHWUSDT,0.01,-4.02,-3.37,0.03,18
551,TRXUSDT,BCHUSDT,0.04,-3.46,-3.37,0.0,18
696,XNOUSDT,BNXUSDT,0.04,-3.39,-3.37,1.43,18
530,TRXUSDT,ACHUSDT,0.04,-3.41,-3.37,2.79,18
168,BANDUSDT,JSTUSDT,0.02,-3.66,-3.37,61.24,18
735,ZILUSDT,BNBUSDT,0.04,-3.41,-3.37,0.0,18
616,TRXUSDT,LQTYUSDT,0.02,-3.65,-3.37,0.06,18
445,LQTYUSDT,OMGUSDT,0.02,-3.64,-3.37,1.63,18
329,DARUSDT,1000LUNCUSDT,0.01,-3.82,-3.37,1.57,18
579,TRXUSDT,EGLDUSDT,0.04,-3.42,-3.37,0.0,18
460,PEOPLEUSDT,ANKRUSDT,0.02,-3.64,-3.37,0.69,18
583,TRXUSDT,ETCUSDT,0.02,-3.63,-3.37,0.0,18
267,CELRUSDT,JSTUSDT,0.01,-4.03,-3.37,0.88,18
187,BOBAUSDT,FXSUSDT,0.03,-3.48,-3.37,0.02,18
726,XNOUSDT,GFTUSDT,0.04,-3.39,-3.37,39.12,18
752,ZRXUSDT,IOTXUSDT,0.04,-3.38,-3.37,9.84,18
692,XNOUSDT,BAKEUSDT,0.02,-3.71,-3.37,4.84,18
218,BUSDUSDT,LDOUSDT,0.0,-4.14,-3.37,0.49,18
700,XNOUSDT,BUSDUSDT,0.02,-3.7,-3.37,0.71,18
375,DOTUSDT,ANKRUSDT,0.02,-3.66,-3.37,209.49,18
299,COTIUSDT,IDUSDT,0.03,-3.57,-3.37,0.14,18
600,TRXUSDT,IDUSDT,0.05,-3.37,-3.37,0.16,18
601,TRXUSDT,ILVUSDT,0.03,-3.55,-3.37,0.0,18
132,BAKEUSDT,FILUSDT,0.03,-3.49,-3.37,0.03,18
471,RPLUSDT,LRCUSDT,0.02,-3.71,-3.37,165.48,18
605,TRXUSDT,JOEUSDT,0.02,-3.69,-3.37,0.21,18
407,LQTYUSDT,ANTUSDT,0.04,-3.44,-3.37,0.36,17
387,ETHWUSDT,BALUSDT,0.04,-3.46,-3.37,0.39,17
698,XNOUSDT,BSWUSDT,0.02,-3.6,-3.37,5.8,17
372,DGBUSDT,XCNUSDT,0.04,-3.44,-3.37,4.28,17
689,XNOUSDT,ATOMUSDT,0.02,-3.61,-3.37,0.07,17
639,TWTUSDT,AKROUSDT,0.01,-3.84,-3.37,296.03,17
85,1INCHUSDT,ACHUSDT,0.04,-3.47,-3.37,14.4,17
753,ZRXUSDT,JOEUSDT,0.03,-3.53,-3.37,0.61,17
374,DOTUSDT,ADAUSDT,0.03,-3.51,-3.37,14.53,17
87,1INCHUSDT,ARUSDT,0.03,-3.54,-3.37,0.06,17
380,ETCUSDT,ARUSDT,0.03,-3.52,-3.37,2.7,17
740,ZILUSDT,FLMUSDT,0.03,-3.54,-3.37,0.28,17
179,BANDUSDT,REEFUSDT,0.03,-3.52,-3.37,654.28,17
272,CHZUSDT,10000NFTUSDT,0.01,-4.0,-3.37,27.87,17
328,DARUSDT,10000NFTUSDT,0.02,-3.67,-3.37,37.33,17
321,CREAMUSDT,LITUSDT,0.03,-3.51,-3.37,25.9,17
164,BANDUSDT,ICXUSDT,0.02,-3.61,-3.37,5.86,17
716,XNOUSDT,EGLDUSDT,0.01,-3.78,-3.37,0.02,17
608,TRXUSDT,KDAUSDT,0.02,-3.62,-3.37,0.1,17
